	nse	cobertura_salud	alcance_cobertura_salud	fuente_ingresos	prestaciones_estatales	origen_ingreso_principal	solicitud_ayuda_pandemia	atencion_salud_dificultades_pre_pandemia	atencion_salud_dificultades_pre_pandemia_detalle	covid_positivo_dificultades	atencion_salud_acceso_informacion_origen	informacion_medidas_educativas_origen
577	Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
578	Bajo	PAMI, Otra cobertura	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo, Jubilación / Pensión	Otras	Jubilación / pensión	Comedor o merendero barrial	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
579	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro), Eventual (por changas)	Ninguno	No tuvo ninguna dificultad	NA	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios)	A través de medios masivos (televisión/radio/diarios)
580	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	Ninguna de las anteriores	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales
581	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro), Eventual (por changas)	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	Ninguna de las anteriores	A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
582	Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Posponer intervenciones quirúrgicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por las autoridades del Estado en conferencias de prensa
583	Bajo	PAMI	Ns / Nc	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	En la escuela	No tuvo ninguna dificultad	NA	NA	A través de medios masivos (televisión/radio/diarios)	A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos
584	Bajo	PAMI, Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal	Ninguno	No tuvo ninguna dificultad	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de información provista por el Estado en conferencias de prensa, Otras	A través de medios masivos (televisión/radio/diarios), A través de información provista por las autoridades del Estado en conferencias de prensa
585	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Estudios complementarios y análisis	Trabajo	Ninguna de las anteriores	Trabajo formal	Ninguno	Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
586	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Provisión de elementos (anteojos o prótesis por ej)	Trabajo, Jubilación / Pensión	Ninguna de las anteriores	Trabajo formal, Jubilación / pensión	Ninguno	No tuvo ninguna dificultad	Otras	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales
587	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Asignación Universal por Hijo	Trabajo formal	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
588	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Trabajo informal (en negro)	Ninguno	No tuvo ninguna dificultad	Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de redes sociales, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
589	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Ninguno	Dificultades económicas para afrontar los gastos en salud.	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	Acceder al testeo en caso de tener síntomas, Acceder al seguimiento de los servicios médicos, Aislar en el hogar a las personas contagiadas	A través de medios masivos (televisión/radio/diarios), A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de los docentes o directivos de las instituciones educativas, A través de información provista por las autoridades del Estado en conferencias de prensa
590	Bajo	Obra social por trabajo o sindicato	Atención médica básica, Atención odontológica, Atención en salud mental, Provisión de elementos salud sexual reproductiva, Estudios complementarios y análisis, Provisión de elementos (anteojos o prótesis por ej)	Trabajo	Asignación Universal por Hijo	Trabajo informal (en negro)	Ninguno	Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades económicas para pagar consultas/medicamentos/análisis médicos/estudios/especialidades médicas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de información provista por el Estado en conferencias de prensa	A través de los docentes o directivos de las instituciones educativas
591	Bajo	No tiene cobertura	NA	Programa estatal	Asignación Universal por Hijo	Plan o programa estatal	Ninguno	No tuvo ninguna dificultad	Dificultades para solicitar turnos de manera virtual por falta de conectividad	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas
592	Bajo	No tiene cobertura	NA	Trabajo	Ninguna de las anteriores	Eventual (por changas)	Ninguno	No conocer cómo solicitar turnos, Vivir lejos de los centros de atención médica, Dificultades económicas para afrontar los gastos en salud., Tiempo de espera excesivos para acceder a la consulta	Dificultades para acceder a turnos médicos por escasez de atención, Dificultades para solicitar turnos de manera virtual por falta de conectividad, Dificultades para solicitar turnos de manera virtual por problemas en los sistemas	NA	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los propios servicios de salud, A través de familiares/amigos/vecinos, A través de información provista por el Estado en conferencias de prensa	A través de medios masivos (televisión/radio/diarios), A través de redes sociales, A través de los docentes o directivos de las instituciones educativas, A través de familiares/amigos/vecinos, A través de información provista por las autoridades del Estado en conferencias de prensa
